product_name,nutriscore_grade,nutriscore_score,nova_group,energy-kcal_100g,saturated-fat_100g,sugars_100g,sodium_100g,fruits-vegetables-nuts_100g,fiber_100g,proteins_100g
Purée de Noix de Cajou grillées Bio,b,-2.0,3.0,614.0,8.8,5.0,0.12,0.0,3.8,21.0
Purée de Noisettes Sans Sel Bio,a,-8.0,2.0,702.0,4.9,5.0,0.0,0.0,9.0,14.0
Lentilles Brunes Bio,a,-7.0,3.0,54.0,0.0,0.0,0.032,0.0,4.0,4.0
Tofu Nature Bio,a,-3.0,3.0,162.0,1.5,0.8,0.0,0.0,1.3,16.0
CRANBERRY & RASPERRY JUICE DRINK,c,5.0,4.0,7.0,0.1,1.1,0.04,29.0,0.1,0.2
Cinnamon-Spice Apple Cider,d,7.0,4.0,50.0,0.0,11.2,0.0,100.0,0.0,0.417
Jus de cranberry,e,14.0,4.0,55.0,0.1,13.3,0.04,30.0,0.1,0.1
Microwave Pop Corn,e,26.0,4.0,546.0,18.0,0.0,1.22,61.0,11.0,6.8
Cranberry 0% sucres ajoutés,c,6.0,4.0,10.0,0.0,1.5,0.016,0.0,0.0,0.0
Organic Raspberry Jam,d,17.0,4.0,226.0,0.1,65.0,0.008,58.0,2.2,0.69
Pure Premium Orange Juice Original No Pulp,c,5.0,1.0,46.0,0.0,9.17,0.0,100.0,0.0,0.83
"Pressed Red Grape, Pomegranate and Blackcurrant Juice",d,8.0,1.0,52.0,0.00667,13.0,0.0133,100.0,0.167,0.0333
Sparkling cloudy Apple & Elderflower,d,8.0,4.0,32.0,0.1,7.7,0.004,25.0,0.1,0.1
Koala Crisp Chocolate Cereal,c,10.0,4.0,363.0,0.0,36.3,0.0,0.0,6.6,6.6
"Avocado, feta and grain",b,2.0,3.0,176.0,2.4,1.2,0.132,0.0,3.5,5.6
Finger,e,29.0,4.0,521.0,13.0,40.0,0.196,0.0,1.4,7.3
Strawberry fruit spread imp,a,0.0,4.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Mojito juice drink,d,8.0,3.0,33.0,0.1,7.1,0.04,17.0,0.1,0.2
Getrocknete Seetang,c,10.0,1.0,250.0,0.0,10.0,1.24,100.0,10.0,10.0
Sicilian Blood Orange Marmelade Medium Cut,d,18.0,4.0,251.0,0.1,58.4,0.032,35.0,1.1,0.4
